Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points
 0.500000  3.547204  0.000000  3.845364  8.275000  0.000000  0.000000  0.920000  2.378636  3.767232  4.569351  4.777232  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.553675  0.000000  3.848373  8.004819  0.000000  0.000000  0.899518  2.338072  3.488961  4.281286  4.478405  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.555940  0.000000  3.850000  7.900000  0.000000  0.000000  0.880000  2.310000  3.804042  4.627828  4.804000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.564294  0.000000  3.855971  7.548406  0.000000  0.000000  0.849855  2.230435  3.671212  4.494380  4.649398  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.572067  0.000000  3.861815  7.221481  0.000000  0.000000  0.810123  2.149877  3.347887  4.170910  4.325617  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.579587  0.000000  3.879302  6.933837  0.000000  0.000000  0.780349  2.068953  3.096153  3.908244  4.062202  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.587166  0.000000  3.877765  6.621111  0.000000  0.000000  0.750123  1.989630  2.932366  3.743574  3.876685  0.000000  0.000000  0.000000  0.000000  0.000000

age(Gyr)= 0.004000  21 points
 0.075000  3.471966  0.000000  3.857388  11.976000  0.000000  0.000000  1.190471  2.890706  4.980123  5.668083  6.021146  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.475993  0.000000  3.865942  11.801068  0.000000  0.000000  1.179903  2.839612  4.719904  5.405316  5.763831  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.480100  0.000000  3.875600  11.586235  0.000000  0.000000  1.170235  2.800941  4.719093  5.393562  5.751929  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.483384  0.000000  3.882694  11.406706  0.000000  0.000000  1.160235  2.780706  4.664952  5.349908  5.698048  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.486430  0.000000  3.886000  11.230000  0.000000  0.000000  1.140000  2.750000  4.622060  5.306955  5.644110  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.491818  0.000000  3.891808  10.930769  0.000000  0.000000  1.129808  2.709519  4.323127  5.008020  5.345071  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.495470  0.000000  3.895024  10.698049  0.000000  0.000000  1.110488  2.680976  4.461596  5.156955  5.483377  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.499872  0.000000  3.896748  10.440280  0.000000  0.000000  1.089813  2.649439  4.212733  4.908355  5.234577  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.504649  0.000000  3.898253  10.197108  0.000000  0.000000  1.080723  2.621446  4.337906  5.043553  5.348511  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.514548  0.000000  3.904000  9.760000  0.000000  0.000000  1.040000  2.550000  4.234042  4.950506  5.234000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.523722  0.000000  3.907476  9.394762  0.000000  0.000000  1.010476  2.501429  4.105955  4.853382  5.116433  0.000000  0.000000  0.000000  0.000000  0.000000
 0.350000  3.531449  0.000000  3.908518  9.075294  0.000000  0.000000  0.980471  2.451882  4.018466  4.777369  5.018944  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.538071  0.000000  3.911000  8.810000  0.000000  0.000000  0.960000  2.420000  3.964042  4.744899  4.964000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.543047  0.000000  3.911439  8.586341  0.000000  0.000000  0.940000  2.381463  3.894529  4.685727  4.894488  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.548099  0.000000  3.912636  8.375000  0.000000  0.000000  0.920000  2.351364  3.842715  4.634005  4.832129  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.554373  0.000000  3.915667  8.101143  0.000000  0.000000  0.890095  2.299810  3.576261  4.367642  4.565278  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.556670  0.000000  3.915667  8.001143  0.000000  0.000000  0.880095  2.279810  3.485956  4.288275  4.485809  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.565119  0.000000  3.921370  7.657284  0.000000  0.000000  0.850000  2.210494  3.603653  4.426290  4.581792  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.572755  0.000000  3.927000  7.340000  0.000000  0.000000  0.820000  2.140000  3.497014  4.309127  4.463834  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.580437  0.000000  3.940698  7.036163  0.000000  0.000000  0.789651  2.041047  3.339857  4.151364  4.285355  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.588496  0.000000  3.939000  6.710000  0.000000  0.000000  0.760000  1.960000  3.201968  3.991047  4.113558  0.000000  0.000000  0.000000  0.000000  0.000000

age(Gyr)= 0.005000  21 points
 0.075000  3.476923  0.000000  3.953196  12.018431  0.000000  0.000000  1.170784  2.813137  4.877771  5.556742  5.906102  0.000000  0.000000  0.000000  0.000000  0.000000
