Z=0.018120 Y=0.266240 OS=0.20 l/Hp=1.743201 [Fe/H]=    0.000 [Alpha/Fe]= 0.00
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 4.8378433  4.2227  2.6617  4.3036 -0.377 -0.674 -0.195 -0.093 -0.178 -0.446 -0.527 -0.545 -0.591 -0.721  6.4642E+02  6.8025E+00  2.4524E-01
 5.2444127  4.3757  2.8287  4.4395 -0.514 -0.718 -0.207 -0.099 -0.191 -0.478 -0.565 -0.587 -0.636 -0.776 -4.0858E+03 -7.3911E+01 -4.1854E+00
 0.7519986  0.6204  0.4059  0.6335 -0.068 -0.105 -0.030 -0.015 -0.028 -0.070 -0.082 -0.086 -0.093 -0.113 -4.4570E+03 -7.7253E+02 -3.0798E+02
 0.7874065  0.6221  0.4161  0.6330 -0.084 -0.107 -0.031 -0.015 -0.029 -0.071 -0.084 -0.087 -0.094 -0.115  3.5408E+01  2.7788E+01  2.0660E+01

age(Gyr)= 0.002  37 points
 0.4000000  3.5760 -0.4904  3.7865  7.405  1.275  1.389  0.910  1.875  3.053  3.866  4.020  4.126  4.898  1.4939E+02  4.5896E+02  8.9662E+02
 0.5493945  3.6062 -0.3480  3.9007  6.552  1.372  1.343  0.820  1.565  2.454  3.193  3.304  3.403  4.054  3.6701E+02  6.2967E+02  8.3453E+02
 0.7670052  3.6308 -0.1154  3.9121  5.726  1.245  1.250  0.717  1.332  2.182  2.834  2.938  3.029  3.591  5.3008E+02  4.1634E+02  3.1946E+02
 1.0794770  3.6546  0.1241  3.9165  4.962  1.075  1.153  0.628  1.156  1.985  2.578  2.678  2.777  3.292  6.8750E+02  2.5002E+02  1.1129E+02
 1.4545016  3.6802  0.3411  3.9312  4.233  0.845  1.020  0.524  0.968  1.725  2.254  2.345  2.428  2.893  7.7596E+02  1.4200E+02  3.8724E+01
 1.8554410  3.7054  0.5595  3.9192  3.575  0.567  0.890  0.465  0.875  1.514  1.987  2.067  2.136  2.562  7.4432E+02  7.8329E+01  1.4366E+01
 2.1988200  3.7296  0.7842  3.8652  2.949  0.340  0.773  0.424  0.810  1.355  1.778  1.850  1.910  2.308  5.6732E+02  4.0299E+01  5.5721E+00
 2.4227613  3.7514  1.0281  3.7510  2.281  0.171  0.672  0.380  0.736  1.200  1.560  1.622  1.673  2.028  3.6568E+02  2.0357E+01  2.3645E+00
 2.5644998  3.7727  1.2704  3.6190  1.629  0.076  0.584  0.332  0.649  1.072  1.382  1.439  1.482  1.809  2.4542E+02  1.1806E+01  1.2364E+00
 2.6681765  3.7977  1.4629  3.5437  1.097  0.043  0.494  0.281  0.548  0.899  1.149  1.199  1.232  1.513  1.6810E+02  7.3634E+00  7.2187E-01
 2.7325962  3.8263  1.5856  3.5457  0.748  0.039  0.397  0.219  0.434  0.701  0.882  0.924  0.941  1.157  1.1921E+02  4.9039E+00  4.5994E-01
 2.7873854  3.8552  1.6895  3.5662  0.467  0.058  0.298  0.162  0.329  0.516  0.642  0.677  0.682  0.842  9.4749E+01  3.7237E+00  3.3822E-01
 2.8273449  3.8846  1.7654  3.6140  0.284  0.109  0.198  0.109  0.236  0.357  0.447  0.478  0.477  0.598  7.9887E+01  3.0268E+00  2.6793E-01
 2.8672721  3.9075  1.8291  3.6481  0.127  0.149  0.121  0.066  0.163  0.231  0.292  0.320  0.312  0.403  7.7847E+01  2.8551E+00  2.4702E-01
 2.9051923  3.8841  1.7956  3.5937  0.203  0.116  0.203  0.109  0.237  0.354  0.442  0.473  0.471  0.590  7.3887E+01  2.6274E+00  2.2244E-01
 2.9411595  3.8613  1.7607  3.5427  0.294  0.072  0.285  0.154  0.314  0.485  0.602  0.636  0.638  0.788  6.4179E+01  2.2196E+00  1.8429E-01
 2.9693709  3.8624  1.7689  3.5431  0.310  0.031  0.299  0.163  0.327  0.506  0.628  0.661  0.663  0.816  5.0493E+01  1.7069E+00  1.3946E-01
 2.9916527  3.8891  1.8241  3.5980  0.245 -0.008  0.241  0.135  0.271  0.411  0.511  0.539  0.536  0.661  4.5442E+01  1.5074E+00  1.2153E-01
 3.0148129  3.9152  1.8772  3.6525  0.190 -0.052  0.188  0.109  0.220  0.322  0.402  0.427  0.419  0.518  4.5747E+01  1.4907E+00  1.1869E-01
